x	y	g	gxx	gyy	gzz	gxy	gxz	gyz	
2.5	42.5	-0.324689	-0.185727	0.251412	-0.0656853	-1.01958	-1.35508	1.16089	
2.5	43.5	-0.313201	-0.162556	0.190651	-0.0280948	-1.01091	-1.28035	1.13634	
2.5	44.5	-0.301969	-0.140046	0.133771	0.0062752	-0.999483	-1.20874	1.10981	
2.5	45.5	-0.29101	-0.118318	0.080774	0.0375439	-0.985619	-1.14027	1.08168	
2.5	46.5	-0.280339	-0.0974655	0.0316186	0.065847	-0.969632	-1.07496	1.0523	
2.5	47.5	-0.269967	-0.0775624	-0.0137693	0.0913317	-0.951819	-1.0128	1.02198	
2.5	48.5	-0.259902	-0.058662	-0.0554914	0.114153	-0.932461	-0.953733	0.990992	
2.5	49.5	-0.250149	-0.0407998	-0.0936721	0.134472	-0.911818	-0.897705	0.959595	
2.5	50.5	-0.240711	-0.0239959	-0.128453	0.152449	-0.890131	-0.844642	0.928007	
2.5	51.5	-0.231589	-0.00825689	-0.159989	0.168246	-0.867619	-0.794454	0.89642	
2.5	52.5	-0.222782	0.0064222	-0.188442	0.18202	-0.844482	-0.747046	0.865003	
2.5	53.5	-0.214288	0.020056	-0.213983	0.193927	-0.8209	-0.702314	0.833899	
2.5	54.5	-0.206102	0.0326669	-0.236782	0.204115	-0.797036	-0.660148	0.80323	
2.5	55.5	-0.198221	0.0442841	-0.257011	0.212727	-0.773032	-0.620438	0.773099	
2.5	56.5	-0.190638	0.0549415	-0.27484	0.219898	-0.749016	-0.58307	0.743591	
2.5	57.5	-0.183347	0.064677	-0.290436	0.225759	-0.725097	-0.54793	0.714774	
2.5	58.5	-0.17634	0.0735314	-0.30396	0.230429	-0.701373	-0.514906	0.686704	
2.5	59.5	-0.16961	0.0815473	-0.315569	0.234022	-0.677926	-0.483887	0.659423	
2.5	60.5	-0.163149	0.0887685	-0.325412	0.236643	-0.654826	-0.454766	0.632962	
2.5	61.5	-0.156948	0.0952394	-0.333631	0.238392	-0.632134	-0.427437	0.607342	
2.5	62.5	-0.150999	0.101004	-0.340362	0.239358	-0.609898	-0.401797	0.582577	
2.5	63.5	-0.145294	0.106106	-0.345733	0.239627	-0.588159	-0.377751	0.558674	
2.5	64.5	-0.139823	0.110589	-0.349864	0.239275	-0.56695	-0.355203	0.535631	
2.5	65.5	-0.134578	0.114494	-0.352868	0.238373	-0.546295	-0.334063	0.513445	
2.5	66.5	-0.129551	0.117862	-0.354849	0.236987	-0.526213	-0.314248	0.492104	
2.5	67.5	-0.124734	0.120731	-0.355906	0.235175	-0.506719	-0.295674	0.471597	
2.5	68.5	-0.120117	0.123139	-0.356131	0.232992	-0.487819	-0.278266	0.451907	
2.5	69.5	-0.115693	0.125121	-0.355607	0.230486	-0.469518	-0.26195	0.433015	
3.5	0.5	-0.42815	-0.0351873	0.695235	-0.660047	1.07268	-1.99874	-1.42258	
3.5	1.5	-0.442335	-0.0500505	0.791761	-0.741711	1.05625	-2.10592	-1.41293	
3.5	2.5	-0.45638	-0.0641667	0.889844	-0.825677	1.0343	-2.21393	-1.39466	
3.5	3.5	-0.470197	-0.0773852	0.988578	-0.911193	1.00674	-2.32196	-1.36715	
3.5	4.5	-0.483691	-0.0896	1.08698	-0.997384	0.973577	-2.42911	-1.32989	
3.5	5.5	-0.496761	-0.100764	1.18402	-1.08326	0.934906	-2.53439	-1.28251	
3.5	6.5	-0.509306	-0.110899	1.27863	-1.16774	0.890908	-2.63677	-1.22479	
3.5	7.5	-0.521222	-0.120105	1.36974	-1.24964	0.841845	-2.73518	-1.15666	
3.5	8.5	-0.532405	-0.128565	1.45631	-1.32775	0.788048	-2.82851	-1.07826	
